KODE_INSTANSI;NAMA_INSTANSI;TINGKAT;NAMA_FORMASI;JENJANG
PEMKAB-KABBOALEMO;Pemerintah Kabupaten Boalemo;daerah;;
PEMKAB-KABBONEBOLANGO;Pemerintah Kabupaten Bone Bolango;daerah;;
PEMKAB-KABGORONTALO;Pemerintah Kabupaten Gorontalo;daerah;;
PEMKAB-KABGORONTALOUTARA;Pemerintah Kabupaten Gorontalo Utara;daerah;;
PEMKAB-KABPOHUWATO;Pemerintah Kabupaten Pohuwato;daerah;;
PEMKOT-KOTAGORONTALO;Pemerintah Kota Gorontalo;daerah;;
PEMPROV-JAMBI;Pemerintah Provinsi Jambi;daerah;;
PEMKAB-KABBATANGHARI;Pemerintah Kabupaten Batang Hari;daerah;;
PEMKAB-KABBUNGO;Pemerintah Kabupaten Bungo;daerah;;
PEMKAB-KABKERINCI;Pemerintah Kabupaten Kerinci;daerah;;
PEMKAB-KABMERANGIN;Pemerintah Kabupaten Merangin;daerah;;
PEMKAB-KABMUAROJAMBI;Pemerintah Kabupaten Muaro Jambi;daerah;;
PEMKAB-KABSAROLANGUN;Pemerintah Kabupaten Sarolangun;daerah;;
PEMKAB-KABTANJUNGJABUNGBARAT;Pemerintah Kabupaten Tanjung Jabung Barat;daerah;;
PEMKAB-KABTANJUNGJABUNGTIMUR;Pemerintah Kabupaten Tanjung Jabung Timur;daerah;;
PEMKAB-KABTEBO;Pemerintah Kabupaten Tebo;daerah;;
PEMKOT-KOTAJAMBI;Pemerintah Kota Jambi;daerah;;
PEMKOT-KOTASUNGAIPENUH;Pemerintah Kota Sungai Penuh;daerah;;
PEMPROV-JAWABARAT;Pemerintah Provinsi Jawa Barat;daerah;;
PEMKAB-KABBANDUNG;Pemerintah Kabupaten Bandung;daerah;;
PEMKAB-KABBANDUNGBARAT;Pemerintah Kabupaten Bandung Barat;daerah;;
PEMKAB-KABBEKASI;Pemerintah Kabupaten Bekasi;daerah;;
PEMKAB-KABBOGOR;Pemerintah Kabupaten Bogor;daerah;;
PEMKAB-KABCIAMIS;Pemerintah Kabupaten Ciamis;daerah;;
PEMKAB-KABCIANJUR;Pemerintah Kabupaten Cianjur;daerah;;
PEMKAB-KABCIREBON;Pemerintah Kabupaten Cirebon;daerah;;
PEMKAB-KABGARUT;Pemerintah Kabupaten Garut;daerah;;
PEMKAB-KABINDRAMAYU;Pemerintah Kabupaten Indramayu;daerah;;
PEMKAB-KABKARAWANG;Pemerintah Kabupaten Karawang;daerah;;
PEMKAB-KABKUNINGAN;Pemerintah Kabupaten Kuningan;daerah;;
PEMKAB-KABMAJALENGKA;Pemerintah Kabupaten Majalengka;daerah;;
PEMKAB-KABPANGANDARAN;Pemerintah Kabupaten Pangandaran;daerah;;
PEMKAB-KABPURWAKARTA;Pemerintah Kabupaten Purwakarta;daerah;;
PEMKAB-KABSUBANG;Pemerintah Kabupaten Subang;daerah;;
PEMKAB-KABSUKABUMI;Pemerintah Kabupaten Sukabumi;daerah;;
PEMKAB-KABSUMEDANG;Pemerintah Kabupaten Sumedang;daerah;;
