KODE_INSTANSI;NAMA_INSTANSI;TINGKAT;NAMA_FORMASI;JENJANG
PEMKAB-KABKUPANG;Pemerintah Kabupaten Kupang;daerah;;
PEMKAB-KABLEMBATA;Pemerintah Kabupaten Lembata;daerah;;
PEMKAB-KABMALAKA;Pemerintah Kabupaten Malaka;daerah;;
PEMKAB-KABMANGGARAI;Pemerintah Kabupaten Manggarai;daerah;;
PEMKAB-KABMANGGARAIBARAT;Pemerintah Kabupaten Manggarai Barat;daerah;;
PEMKAB-KABMANGGARAITIMUR;Pemerintah Kabupaten Manggarai Timur;daerah;;
PEMKAB-KABNAGEKEO;Pemerintah Kabupaten Nagekeo;daerah;;
PEMKAB-KABNGADA;Pemerintah Kabupaten Ngada;daerah;;
PEMKAB-KABROTENDAO;Pemerintah Kabupaten Rote Ndao;daerah;;
PEMKAB-KABSABURAIJUA;Pemerintah Kabupaten Sabu Raijua;daerah;;
PEMKAB-KABSIKKA;Pemerintah Kabupaten Sikka;daerah;;
PEMKAB-KABSUMBABARAT;Pemerintah Kabupaten Sumba Barat;daerah;;
PEMKAB-KABSUMBABARATDAYA;Pemerintah Kabupaten Sumba Barat Daya;daerah;;
PEMKAB-KABSUMBATENGAH;Pemerintah Kabupaten Sumba Tengah;daerah;;
PEMKAB-KABSUMBATIMUR;Pemerintah Kabupaten Sumba Timur;daerah;;
PEMKAB-KABTIMORTENGAHSELATAN;Pemerintah Kabupaten Timor Tengah Selatan;daerah;;
PEMKAB-KABTIMORTENGAHUTARA;Pemerintah Kabupaten Timor Tengah Utara;daerah;;
PEMKOT-KOTAKUPANG;Pemerintah Kota Kupang;daerah;;
PEMPROV-PAPUA;Pemerintah Provinsi Papua;daerah;;
PEMKAB-KABASMAT;Pemerintah Kabupaten Asmat;daerah;;
PEMKAB-KABBIAKNUMFOR;Pemerintah Kabupaten Biak Numfor;daerah;;
PEMKAB-KABBOVENDIGOEL;Pemerintah Kabupaten Boven Digoel;daerah;;
PEMKAB-KABDEIYAI;Pemerintah Kabupaten Deiyai;daerah;;
PEMKAB-KABDOGIYAI;Pemerintah Kabupaten Dogiyai;daerah;;
PEMKAB-KABINTANJAYA;Pemerintah Kabupaten Intan Jaya;daerah;;
PEMKAB-KABJAYAPURA;Pemerintah Kabupaten Jayapura;daerah;;
PEMKAB-KABJAYAWIJAYA;Pemerintah Kabupaten Jayawijaya;daerah;;
PEMKAB-KABKEEROM;Pemerintah Kabupaten Keerom;daerah;;
PEMKAB-KABKEPULAUANYAPEN;Pemerintah Kabupaten Kepulauan Yapen;daerah;;
PEMKAB-KABLANNYJAYA;Pemerintah Kabupaten Lanny Jaya;daerah;;
PEMKAB-KABMAMBERAMORAYA;Pemerintah Kabupaten Mamberamo Raya;daerah;;
PEMKAB-KABMAMBERAMOTENGAH;Pemerintah Kabupaten Mamberamo Tengah;daerah;;
PEMKAB-KABMAPPI;Pemerintah Kabupaten Mappi;daerah;;
PEMKAB-KABMERAUKE;Pemerintah Kabupaten Merauke;daerah;;
PEMKAB-KABMIMIKA;Pemerintah Kabupaten Mimika;daerah;;
PEMKAB-KABNABIRE;Pemerintah Kabupaten Nabire;daerah;;
PEMKAB-KABNDUGA;Pemerintah Kabupaten Nduga;daerah;;
PEMKAB-KABPANIAI;Pemerintah Kabupaten Paniai;daerah;;
PEMKAB-KABPEGUNUNGANBINTANG;Pemerintah Kabupaten Pegunungan Bintang;daerah;;
PEMKAB-KABPUNCAK;Pemerintah Kabupaten Puncak;daerah;;
PEMKAB-KABPUNCAKJAYA;Pemerintah Kabupaten Puncak Jaya;daerah;;
PEMKAB-KABSARMI;Pemerintah Kabupaten Sarmi;daerah;;
PEMKAB-KABSUPIORI;Pemerintah Kabupaten Supiori;daerah;;
PEMKAB-KABTOLIKARA;Pemerintah Kabupaten Tolikara;daerah;;
PEMKAB-KABWAROPEN;Pemerintah Kabupaten Waropen;daerah;;
PEMKAB-KABYAHUKIMO;Pemerintah Kabupaten Yahukimo;daerah;;
PEMKAB-KABYALIMO;Pemerintah Kabupaten Yalimo;daerah;;
PEMKOT-KOTAJAYAPURA;Pemerintah Kota Jayapura;daerah;;
PEMPROV-PAPUABARAT;Pemerintah Provinsi Papua Barat;daerah;;
PEMKAB-KABFAKFAK;Pemerintah Kabupaten Fakfak;daerah;;
PEMKAB-KABKAIMANA;Pemerintah Kabupaten Kaimana;daerah;;
PEMKAB-KABMANOKWARI;Pemerintah Kabupaten Manokwari;daerah;;
PEMKAB-KABMANOKWARISELATAN;Pemerintah Kabupaten Manokwari Selatan;daerah;;
PEMKAB-KABMAYBRAT;Pemerintah Kabupaten Maybrat;daerah;;
PEMKAB-KABPEGUNUNGANARFAK;Pemerintah Kabupaten Pegunungan Arfak;daerah;;
PEMKAB-KABRAJAAMPAT;Pemerintah Kabupaten Raja Ampat;daerah;;
PEMKAB-KABSORONG;Pemerintah Kabupaten Sorong;daerah;;
PEMKAB-KABSORONGSELATAN;Pemerintah Kabupaten Sorong Selatan;daerah;;
PEMKAB-KABTAMBRAUW;Pemerintah Kabupaten Tambrauw;daerah;;
PEMKAB-KABTELUKBINTUNI;Pemerintah Kabupaten Teluk Bintuni;daerah;;
PEMKAB-KABTELUKWONDAMA;Pemerintah Kabupaten Teluk Wondama;daerah;;
PEMKOT-KOTASORONG;Pemerintah Kota Sorong;daerah;;
PEMPROV-RIAU;Pemerintah Provinsi Riau;daerah;;
PEMKAB-KABBENGKALIS;Pemerintah Kabupaten Bengkalis;daerah;;
PEMKAB-KABINDRAGIRIHILIR;Pemerintah Kabupaten Indragiri Hilir;daerah;;
PEMKAB-KABINDRAGIRIHULU;Pemerintah Kabupaten Indragiri Hulu;daerah;;
PEMKAB-KABKAMPAR;Pemerintah Kabupaten Kampar;daerah;;
PEMKAB-KABKEPULAUANMERANTI;Pemerintah Kabupaten Kepulauan Meranti;daerah;;
PEMKAB-KABKUANTANSINGINGI;Pemerintah Kabupaten Kuantan Singingi;daerah;;
PEMKAB-KABPELALAWAN;Pemerintah Kabupaten Pelalawan;daerah;;
PEMKAB-KABROKANHILIR;Pemerintah Kabupaten Rokan Hilir;daerah;;
PEMKAB-KABROKANHULU;Pemerintah Kabupaten Rokan Hulu;daerah;;
PEMKAB-KABSIAK;Pemerintah Kabupaten S I A K;daerah;;
PEMKOT-KOTADUMAI;Pemerintah Kota D U M A I;daerah;;
PEMKOT-KOTAPEKANBARU;Pemerintah Kota Pekanbaru;daerah;;
PEMPROV-SULAWESIBARAT;Pemerintah Provinsi Sulawesi Barat;daerah;;
PEMKAB-KABMAJENE;Pemerintah Kabupaten Majene;daerah;;
PEMKAB-KABMAMASA;Pemerintah Kabupaten Mamasa;daerah;;
PEMKAB-KABMAMUJU;Pemerintah Kabupaten Mamuju;daerah;;
PEMKAB-KABMAMUJUTENGAH;Pemerintah Kabupaten Mamuju Tengah;daerah;;
PEMKAB-KABMAMUJUUTARA;Pemerintah Kabupaten Mamuju Utara;daerah;;
PEMKAB-KABPOLEWALIMANDAR;Pemerintah Kabupaten Polewali Mandar;daerah;;
PEMPROV-SULAWESISELATAN;Pemerintah Provinsi Sulawesi Selatan;daerah;;
PEMKAB-KABBANTAENG;Pemerintah Kabupaten Bantaeng;daerah;;
PEMKAB-KABBARRU;Pemerintah Kabupaten Barru;daerah;;
PEMKAB-KABBONE;Pemerintah Kabupaten Bone;daerah;;
PEMKAB-KABBULUKUMBA;Pemerintah Kabupaten Bulukumba;daerah;;
PEMKAB-KABENREKANG;Pemerintah Kabupaten Enrekang;daerah;;
PEMKAB-KABGOWA;Pemerintah Kabupaten Gowa;daerah;;
PEMKAB-KABJENEPONTO;Pemerintah Kabupaten Jeneponto;daerah;;
PEMKAB-KABKEPULAUANSELAYAR;Pemerintah Kabupaten Kepulauan Selayar;daerah;;
PEMKAB-KABLUWU;Pemerintah Kabupaten Luwu;daerah;;
PEMKAB-KABLUWUTIMUR;Pemerintah Kabupaten Luwu Timur;daerah;;
PEMKAB-KABLUWUUTARA;Pemerintah Kabupaten Luwu Utara;daerah;;
PEMKAB-KABMAROS;Pemerintah Kabupaten Maros;daerah;;
PEMKAB-KABPANGKAJENEDANKEPULAUA;Pemerintah Kabupaten Pangkajene Dan Kepulauan;daerah;;
PEMKAB-KABPINRANG;Pemerintah Kabupaten Pinrang;daerah;;
PEMKAB-KABSIDENRENGRAPPANG;Pemerintah Kabupaten Sidenreng Rappang;daerah;;
PEMKAB-KABSINJAI;Pemerintah Kabupaten Sinjai;daerah;;
PEMKAB-KABSOPPENG;Pemerintah Kabupaten Soppeng;daerah;;
PEMKAB-KABTAKALAR;Pemerintah Kabupaten Takalar;daerah;;
PEMKAB-KABTANATORAJA;Pemerintah Kabupaten Tana Toraja;daerah;;
PEMKAB-KABTORAJAUTARA;Pemerintah Kabupaten Toraja Utara;daerah;;
PEMKAB-KABWAJO;Pemerintah Kabupaten Wajo;daerah;;
PEMKOT-KOTAMAKASSAR;Pemerintah Kota Makassar;daerah;;
PEMKOT-KOTAPALOPO;Pemerintah Kota Palopo;daerah;;
PEMKOT-KOTAPAREPARE;Pemerintah Kota Parepare;daerah;;
PEMPROV-SULAWESITENGAH;Pemerintah Provinsi Sulawesi Tengah;daerah;;
PEMKAB-KABBANGGAI;Pemerintah Kabupaten Banggai;daerah;;
PEMKAB-KABBANGGAIKEPULAUAN;Pemerintah Kabupaten Banggai Kepulauan;daerah;;
PEMKAB-KABBANGGAILAUT;Pemerintah Kabupaten Banggai Laut;daerah;;
PEMKAB-KABBUOL;Pemerintah Kabupaten Buol;daerah;;
PEMKAB-KABDONGGALA;Pemerintah Kabupaten Donggala;daerah;;
PEMKAB-KABMOROWALI;Pemerintah Kabupaten Morowali;daerah;;
PEMKAB-KABMOROWALIUTARA;Pemerintah Kabupaten Morowali Utara;daerah;;
PEMKAB-KABPARIGIMOUTONG;Pemerintah Kabupaten Parigi Moutong;daerah;;
PEMKAB-KABPOSO;Pemerintah Kabupaten Poso;daerah;;
PEMKAB-KABSIGI;Pemerintah Kabupaten Sigi;daerah;;
PEMKAB-KABTOJOUNAUNA;Pemerintah Kabupaten Tojo Una-una;daerah;;
PEMKAB-KABTOLITOLI;Pemerintah Kabupaten Toli-toli;daerah;;
PEMKOT-KOTAPALU;Pemerintah Kota Palu;daerah;;
PEMPROV-SULAWESITENGGARA;Pemerintah Provinsi Sulawesi Tenggara;daerah;;
PEMKAB-KABBOMBANA;Pemerintah Kabupaten Bombana;daerah;;
PEMKAB-KABBUTON;Pemerintah Kabupaten Buton;daerah;;
PEMKAB-KABBUTONSELATAN;Pemerintah Kabupaten Buton Selatan;daerah;;
PEMKAB-KABBUTONTENGAH;Pemerintah Kabupaten Buton Tengah;daerah;;
PEMKAB-KABBUTONUTARA;Pemerintah Kabupaten Buton Utara;daerah;;
PEMKAB-KABKOLAKA;Pemerintah Kabupaten Kolaka;daerah;;
PEMKAB-KABKOLAKATIMUR;Pemerintah Kabupaten Kolaka Timur;daerah;;
PEMKAB-KABKOLAKAUTARA;Pemerintah Kabupaten Kolaka Utara;daerah;;
PEMKAB-KABKONAWE;Pemerintah Kabupaten Konawe;daerah;;
PEMKAB-KABKONAWEKEPULAUAN;Pemerintah Kabupaten Konawe Kepulauan;daerah;;
PEMKAB-KABKONAWESELATAN;Pemerintah Kabupaten Konawe Selatan;daerah;;
PEMKAB-KABKONAWEUTARA;Pemerintah Kabupaten Konawe Utara;daerah;;
PEMKAB-KABMUNA;Pemerintah Kabupaten Muna;daerah;;
PEMKAB-KABMUNABARAT;Pemerintah Kabupaten Muna Barat;daerah;;
PEMKAB-KABWAKATOBI;Pemerintah Kabupaten Wakatobi;daerah;;
PEMKOT-KOTABAUBAU;Pemerintah Kota Baubau;daerah;;
PEMKOT-KOTAKENDARI;Pemerintah Kota Kendari;daerah;;
PEMPROV-SULAWESIUTARA;Pemerintah Provinsi Sulawesi Utara;daerah;;
PEMKAB-KABBOLAANGMONGONDOW;Pemerintah Kabupaten Bolaang Mongondow;daerah;;
PEMKAB-KABBOLAANGMONGONDOWSELAT;Pemerintah Kabupaten Bolaang Mongondow Selatan;daerah;;
PEMKAB-KABBOLAANGMONGONDOWTIMUR;Pemerintah Kabupaten Bolaang Mongondow Timur;daerah;;
PEMKAB-KABBOLAANGMONGONDOWUTARA;Pemerintah Kabupaten Bolaang Mongondow Utara;daerah;;
PEMKAB-KABKEPULAUANSANGIHE;Pemerintah Kabupaten Kepulauan Sangihe;daerah;;
PEMKAB-KABKEPULAUANTALAUD;Pemerintah Kabupaten Kepulauan Talaud;daerah;;
PEMKAB-KABMINAHASA;Pemerintah Kabupaten Minahasa;daerah;;
PEMKAB-KABMINAHASASELATAN;Pemerintah Kabupaten Minahasa Selatan;daerah;;
PEMKAB-KABMINAHASATENGGARA;Pemerintah Kabupaten Minahasa Tenggara;daerah;;
PEMKAB-KABMINAHASAUTARA;Pemerintah Kabupaten Minahasa Utara;daerah;;
PEMKAB-KABSIAUTAGULANDANGBIARO;Pemerintah Kabupaten Siau Tagulandang Biaro;daerah;;
PEMKOT-KOTABITUNG;Pemerintah Kota Bitung;daerah;;
PEMKOT-KOTAKOTAMOBAGU;Pemerintah Kota Kotamobagu;daerah;;
PEMKOT-KOTAMANADO;Pemerintah Kota Manado;daerah;;
PEMKOT-KOTATOMOHON;Pemerintah Kota Tomohon;daerah;;
PEMPROV-SUMATERABARAT;Pemerintah Provinsi Sumatera Barat;daerah;;
PEMKAB-KABAGAM;Pemerintah Kabupaten Agam;daerah;;
PEMKAB-KABDHARMASRAYA;Pemerintah Kabupaten Dharmasraya;daerah;;
PEMKAB-KABKEPULAUANMENTAWAI;Pemerintah Kabupaten Kepulauan Mentawai;daerah;;
PEMKAB-KABLIMAPULUHKOTA;Pemerintah Kabupaten Lima Puluh Kota;daerah;;
PEMKAB-KABPADANGPARIAMAN;Pemerintah Kabupaten Padang Pariaman;daerah;;
PEMKAB-KABPASAMAN;Pemerintah Kabupaten Pasaman;daerah;;
PEMKAB-KABPASAMANBARAT;Pemerintah Kabupaten Pasaman Barat;daerah;;
PEMKAB-KABPESISIRSELATAN;Pemerintah Kabupaten Pesisir Selatan;daerah;;
PEMKAB-KABSIJUNJUNG;Pemerintah Kabupaten Sijunjung;daerah;;
PEMKAB-KABSOLOK;Pemerintah Kabupaten Solok;daerah;;
PEMKAB-KABSOLOKSELATAN;Pemerintah Kabupaten Solok Selatan;daerah;;
PEMKAB-KABTANAHDATAR;Pemerintah Kabupaten Tanah Datar;daerah;;
PEMKOT-KOTABUKITTINGGI;Pemerintah Kota Bukittinggi;daerah;;
PEMKOT-KOTAPADANG;Pemerintah Kota Padang;daerah;;
PEMKOT-KOTAPADANGPANJANG;Pemerintah Kota Padang Panjang;daerah;;
PEMKOT-KOTAPARIAMAN;Pemerintah Kota Pariaman;daerah;;
PEMKOT-KOTAPAYAKUMBUH;Pemerintah Kota Payakumbuh;daerah;;
PEMKOT-KOTASAWAHLUNTO;Pemerintah Kota Sawah Lunto;daerah;;
PEMKOT-KOTASOLOK;Pemerintah Kota Solok;daerah;;
PEMPROV-SUMATERASELATAN;Pemerintah Provinsi Sumatera Selatan;daerah;;
PEMKAB-KABBANYUASIN;Pemerintah Kabupaten Banyu Asin;daerah;;
PEMKAB-KABEMPATLAWANG;Pemerintah Kabupaten Empat Lawang;daerah;;
PEMKAB-KABLAHAT;Pemerintah Kabupaten Lahat;daerah;;
PEMKAB-KABMUARAENIM;Pemerintah Kabupaten Muara Enim;daerah;;
PEMKAB-KABMUSIBANYUASIN;Pemerintah Kabupaten Musi Banyuasin;daerah;;
PEMKAB-KABMUSIRAWAS;Pemerintah Kabupaten Musi Rawas;daerah;;
PEMKAB-KABMUSIRAWASUTARA;Pemerintah Kabupaten Musi Rawas Utara;daerah;;
PEMKAB-KABOGANILIR;Pemerintah Kabupaten Ogan Ilir;daerah;;
PEMKAB-KABOGANKOMERINGILIR;Pemerintah Kabupaten Ogan Komering Ilir;daerah;;
PEMKAB-KABOGANKOMERINGULU;Pemerintah Kabupaten Ogan Komering Ulu;daerah;;
PEMKAB-KABOGANKOMERINGULUSELATA;Pemerintah Kabupaten Ogan Komering Ulu Selatan;daerah;;
PEMKAB-KABOGANKOMERINGULUTIMUR;Pemerintah Kabupaten Ogan Komering Ulu Timur;daerah;;
PEMKAB-KABPENUKALABABLEMATANGIL;Pemerintah Kabupaten Penukal Abab Lematang Ilir;daerah;;
PEMKOT-KOTALUBUKLINGGAU;Pemerintah Kota Lubuklinggau;daerah;;
PEMKOT-KOTAPAGARALAM;Pemerintah Kota Pagar Alam;daerah;;
PEMKOT-KOTAPALEMBANG;Pemerintah Kota Palembang;daerah;;
PEMKOT-KOTAPRABUMULIH;Pemerintah Kota Prabumulih;daerah;;
PEMPROV-SUMATERAUTARA;Pemerintah Provinsi Sumatera Utara;daerah;;
PEMKAB-KABASAHAN;Pemerintah Kabupaten Asahan;daerah;;
PEMKAB-KABBATUBARA;Pemerintah Kabupaten Batu Bara;daerah;;
PEMKAB-KABDAIRI;Pemerintah Kabupaten Dairi;daerah;;
PEMKAB-KABDELISERDANG;Pemerintah Kabupaten Deli Serdang;daerah;;
PEMKAB-KABHUMBANGHASUNDUTAN;Pemerintah Kabupaten Humbang Hasundutan;daerah;;
PEMKAB-KABKARO;Pemerintah Kabupaten Karo;daerah;;
PEMKAB-KABLABUHANBATU;Pemerintah Kabupaten Labuhan Batu;daerah;;
PEMKAB-KABLABUHANBATUSELATAN;Pemerintah Kabupaten Labuhan Batu Selatan;daerah;;
PEMKAB-KABLABUHANBATUUTARA;Pemerintah Kabupaten Labuhan Batu Utara;daerah;;
PEMKAB-KABLANGKAT;Pemerintah Kabupaten Langkat;daerah;;
PEMKAB-KABMANDAILINGNATAL;Pemerintah Kabupaten Mandailing Natal;daerah;;
PEMKAB-KABNIAS;Pemerintah Kabupaten Nias;daerah;;
PEMKAB-KABNIASBARAT;Pemerintah Kabupaten Nias Barat;daerah;;
PEMKAB-KABNIASSELATAN;Pemerintah Kabupaten Nias Selatan;daerah;;
PEMKAB-KABNIASUTARA;Pemerintah Kabupaten Nias Utara;daerah;;
PEMKAB-KABPADANGLAWAS;Pemerintah Kabupaten Padang Lawas;daerah;;
PEMKAB-KABPADANGLAWASUTARA;Pemerintah Kabupaten Padang Lawas Utara;daerah;;
PEMKAB-KABPAKPAKBHARAT;Pemerintah Kabupaten Pakpak Bharat;daerah;;
PEMKAB-KABSAMOSIR;Pemerintah Kabupaten Samosir;daerah;;
PEMKAB-KABSERDANGBEDAGAI;Pemerintah Kabupaten Serdang Bedagai;daerah;;
PEMKAB-KABSIMALUNGUN;Pemerintah Kabupaten Simalungun;daerah;;
PEMKAB-KABTAPANULISELATAN;Pemerintah Kabupaten Tapanuli Selatan;daerah;;
PEMKAB-KABTAPANULITENGAH;Pemerintah Kabupaten Tapanuli Tengah;daerah;;
PEMKAB-KABTAPANULIUTARA;Pemerintah Kabupaten Tapanuli Utara;daerah;;
PEMKAB-KABTOBASAMOSIR;Pemerintah Kabupaten Toba Samosir;daerah;;
PEMKOT-KOTABINJAI;Pemerintah Kota Binjai;daerah;;
PEMKOT-KOTAGUNUNGSITOLI;Pemerintah Kota Gunungsitoli;daerah;;
PEMKOT-KOTAMEDAN;Pemerintah Kota Medan;daerah;;
PEMKOT-KOTAPADANGSIDIMPUAN;Pemerintah Kota Padangsidimpuan;daerah;;
PEMKOT-KOTAPEMATANGSIANTAR;Pemerintah Kota Pematang Siantar;daerah;;
PEMKOT-KOTASIBOLGA;Pemerintah Kota Sibolga;daerah;;
PEMKOT-KOTATANJUNGBALAI;Pemerintah Kota Tanjung Balai;daerah;;
PEMKOT-KOTATEBINGTINGGI;Pemerintah Kota Tebing Tinggi;daerah;;
